,loan_id,account_id,loan_date,amount,duration,payments,status,birth_number,client_district,account_district,frequency,account_date,card_type,name,region,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,trans_date_min,trans_date_max,trans_amount_min,trans_amount_max,trans_amount_mean,trans_amount_std,trans_amount_last,trans_balance_min,trans_balance_max,trans_balance_mean,trans_balance_std,trans_balance_last,trans_type_n_credit,trans_type_n_withdrawal,operation_n_credit_cash,operation_n_collection_from_another_bank,operation_n_withdrawal_in_cash,operation_n_remittance_to_another_bank,operation_n_credit_card_withdrawal,operation_n_interest_credited
335,6153,5632,950725,285600,60,4760,1.0,806207,5,5,weekly issuance,941115,none,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,941115,950713,30.0,42729.0,10411.720408163264,11677.223002280614,4200.0,1100.0,126077.1,49651.8918367347,26473.42182373544,28194.4,24,25,17,0,25,0,0,7
336,6157,5650,950710,98592,24,4108,1.0,636224,10,10,issuance after transaction,950108,none,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,950108,950707,68.7,36975.0,10807.380769230771,11368.516776326425,2700.0,900.0,78713.7,54128.56538461536,19656.29438137193,62671.9,13,13,1,6,11,2,0,6
338,6169,5700,950316,103680,60,1728,-1.0,710624,42,42,monthly issuance,930720,none,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,930720,950312,14.6,14422.5,3896.3825688073384,4349.59797077598,6200.0,500.0,46520.1,28250.10917431192,9371.387579711678,30227.6,44,65,25,0,65,0,0,19
340,6175,5735,960221,290700,60,4845,-1.0,595227,52,52,monthly issuance,950125,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,950125,960219,5.1,56400.0,14274.571000000002,15082.070468233018,14400.0,-2825.2,129626.3,59647.42399999998,31590.330595889613,11574.8,42,58,29,0,58,0,0,13
341,6178,5742,951216,232560,48,4845,1.0,705129,74,74,issuance after transaction,950705,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,950705,951214,100.0,39741.0,13066.725925925924,13775.513372915686,11564.0,600.0,102665.9,63188.63333333334,26204.030675466118,41243.5,14,13,9,0,13,0,0,5
342,6185,5774,951128,31176,24,1299,1.0,680129,1,1,monthly issuance,950608,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,950608,951117,14.6,29418.0,9027.317391304348,9218.883576938064,1600.0,700.0,65769.6,46304.15217391303,15340.950971615734,50647.1,12,11,7,0,9,2,0,5
343,6190,5794,960506,123600,60,2060,1.0,670630,70,70,monthly issuance,950714,none,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,950714,960430,14.6,47109.0,9121.306122448976,12795.3032719596,14.6,300.0,105255.7,39514.6775510204,23277.873093332153,15505.6,20,29,10,0,29,0,0,10
345,6202,5891,940418,65184,12,5432,1.0,570929,3,54,monthly issuance,930125,none,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,930125,940416,14.6,48891.0,11972.67682926829,13636.629602159528,7100.0,900.0,102410.3,47426.549999999974,18172.768250468802,67995.4,30,52,1,15,52,0,0,14
347,6210,5927,940606,87216,48,1817,-1.0,640513,15,15,monthly issuance,931126,none,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,931126,940531,14.6,16356.0,4041.378787878787,4832.336533368044,126.8,200.0,41410.0,28362.24848484848,8425.332672368242,21705.9,21,12,3,6,12,0,0,12
349,6216,5952,940930,141240,24,5885,1.0,620911,50,50,monthly issuance,930907,none,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,930907,940922,14.6,52968.0,9343.385294117643,13062.531113295814,4900.0,1000.0,107784.1,57219.574509803846,19476.293991224597,45871.6,27,75,2,13,41,34,0,12
350,6223,5991,941103,61056,48,1272,1.0,575906,57,1,monthly issuance,931121,none,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,931121,941031,14.6,24372.0,5646.339062499999,6783.255216131858,14.6,900.0,55816.0,36039.05156249998,9064.78033824496,33525.3,23,41,12,0,29,12,0,11
351,6227,6030,950304,28248,24,1177,1.0,705210,47,47,monthly issuance,930824,none,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,930824,950228,14.6,30055.5,8111.6808510638275,9581.889557824126,14.6,400.0,69893.0,45582.44893617021,11726.617607165179,33729.1,38,56,20,0,56,0,0,18
352,6228,6034,931201,464520,60,7742,-1.0,406202,77,6,weekly issuance,930319,none,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,930319,931130,30.0,47757.0,13335.798529411764,12806.204786632223,290.7,200.0,125943.1,51760.01617647063,27848.686707573845,101797.3,31,37,22,0,37,0,0,9
353,6229,6040,941002,11736,24,489,1.0,380916,1,1,monthly issuance,930422,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930422,941001,14.6,33098.0,6032.843609022554,8325.122553592006,2200.0,1100.0,70826.8,42224.43909774438,11703.03977104676,26984.4,36,97,19,0,59,38,0,17
354,6232,6051,940708,276660,36,7685,-1.0,490518,56,56,monthly issuance,930828,none,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,930828,940707,9.5,11600.0,3499.286206896553,3063.870045939106,4987.0,500.0,32720.4,19256.89482758621,6029.338312664938,19783.2,30,28,20,0,28,0,0,10
360,6244,6118,950108,270648,36,7518,-1.0,371104,1,1,weekly issuance,940307,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,940307,950101,30.0,52700.0,12958.563888888888,15907.69665338582,25800.0,200.0,134501.4,60819.976388888885,29717.34457286979,50996.5,36,36,16,0,36,0,0,20
362,6253,6148,941104,59760,24,2490,1.0,581126,74,74,monthly issuance,931227,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,931227,941031,14.6,34557.0,8295.155555555553,9473.17477069333,14.6,300.0,69643.1,40204.4648148148,12827.193914171468,41133.1,22,32,12,0,27,5,0,10
365,6272,6226,941220,398640,60,6644,1.0,605209,74,74,weekly issuance,930726,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,930726,941218,30.0,59793.0,16552.96279069768,18029.51295961575,30800.0,400.0,121689.5,63383.57558139535,21947.881092045613,59316.9,34,52,1,17,52,0,0,16
367,6279,6273,940607,87360,24,3640,1.0,620710,38,38,monthly issuance,930721,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,930721,940531,14.6,49341.0,8145.613333333334,12267.288209361523,14.6,200.0,69174.6,36783.95,13552.449489852383,29057.9,16,14,6,0,14,0,0,10
368,6283,6289,960811,85632,48,1784,1.0,495407,64,64,monthly issuance,950405,none,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,950405,960810,14.6,60800.0,15232.292941176469,17960.895530527454,17300.0,800.0,156504.1,65066.73529411768,26945.910380677462,99938.7,38,47,23,0,47,0,0,15
369,6294,6353,950212,79920,60,1332,1.0,530405,26,26,monthly issuance,931126,none,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,931126,950210,14.6,36634.5,7707.4063157894725,10115.937494914819,5984.0,700.0,74199.5,43846.97789473684,11483.013284673825,31271.6,29,66,15,0,46,20,0,14
370,6296,6358,960806,270384,48,5633,1.0,620407,3,3,monthly issuance,950527,none,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,950527,960805,14.6,50696.0,12403.506896551722,13502.971061695092,33797.0,700.0,91294.4,47654.24482758614,18202.53979303858,57835.1,32,55,3,15,45,10,0,14
371,6297,6363,941025,17508,12,1459,1.0,460401,12,74,monthly issuance,930801,none,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,930801,941021,14.6,17580.0,4842.7652777777785,5339.69654640136,720.0,900.0,54432.3,39290.618055555555,9324.209981583175,48027.0,31,41,17,0,41,0,0,14
372,6302,6397,960916,181020,60,3017,1.0,665614,48,48,monthly issuance,950315,none,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,950315,960906,14.6,27150.0,7273.759139784944,7891.191042455485,18100.0,500.0,60475.3,34005.90645161289,9801.680644529757,45526.0,37,56,2,18,56,0,0,17
373,6303,6400,960212,72408,24,3017,-1.0,585613,31,31,issuance after transaction,951009,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,951009,960206,96.5,49634.0,13997.223076923077,15363.916828191623,14000.0,700.0,83619.5,45099.26153846154,19929.621714110985,36363.9,9,4,5,0,4,0,0,4
374,6306,6425,941220,36684,12,3057,1.0,785923,70,31,monthly issuance,930329,none,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,930329,941219,8.3,24480.0,4768.643199999998,5139.132681207422,5700.0,700.0,50774.2,30229.797600000005,7937.353315967115,35093.0,50,75,30,0,75,0,0,20
375,6309,6434,961111,110136,24,4589,1.0,585224,1,1,monthly issuance,950508,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,950508,961108,14.6,60700.0,11660.536507936504,14707.099284176107,4891.0,400.0,140542.8,50815.80476190475,29147.98491700158,40746.5,29,34,17,0,28,6,0,12
379,6315,6472,950206,43164,12,3597,1.0,765106,61,61,monthly issuance,940208,none,Trebic,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,940208,950203,14.6,57680.0,14188.256521739127,16353.863389852693,900.0,800.0,120071.4,68377.06376811591,22291.65403318662,31349.9,26,43,2,12,43,0,0,12
380,6316,6473,940526,76908,12,6409,-1.0,465119,4,12,monthly issuance,930126,none,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,930126,940521,14.6,52200.0,12928.499019607845,13878.461365467403,7000.0,1100.0,126002.8,52890.40392156865,23250.780434566495,14888.6,42,60,26,0,60,0,0,16
384,6336,6555,940331,212400,36,5900,1.0,666024,38,38,weekly issuance,930305,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,930305,940330,30.0,48828.0,11301.5661971831,14293.620357687485,33500.0,300.0,133215.2,51034.36197183098,27309.501085647138,64221.1,31,40,19,0,40,0,0,12
386,6342,6609,951112,60156,36,1671,-1.0,760808,16,16,monthly issuance,950327,none,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,950327,951110,14.6,53600.0,15972.280357142854,16629.248188050748,53600.0,400.0,159712.8,72667.63571428569,34206.987415175485,106112.8,26,30,19,0,22,8,0,7
390,6354,6688,961023,22968,36,638,1.0,505727,16,16,monthly issuance,960625,none,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,960625,961012,16.3,8200.0,4184.636363636364,3934.117762922897,8155.0,1000.0,38831.0,23324.936363636363,11195.573958245528,38831.0,10,1,7,0,1,0,0,3
392,6356,6701,931208,95400,36,2650,1.0,710210,5,49,weekly issuance,930315,none,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,930315,931130,23.6,35760.0,10370.702127659575,12370.934495921747,30.0,200.0,92354.8,41562.32340425532,23576.743344256894,27667.0,22,25,13,0,25,0,0,9
394,6358,6715,950114,137880,60,2298,-1.0,630312,72,48,weekly issuance,930915,none,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,930915,950110,30.0,20848.0,6024.032584269662,6081.063234369749,5100.0,200.0,52658.4,24523.07303370786,11727.066048624869,19966.8,38,51,7,16,51,0,0,15
395,6362,6738,951031,37908,12,3159,1.0,765508,62,62,monthly issuance,940728,none,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,940728,951021,14.1,28431.0,7485.496052631577,8156.46251988268,12300.0,800.0,69530.4,42164.027631578945,12938.940496291016,46113.5,31,45,2,15,45,0,0,14
400,6403,6924,951205,194880,48,4060,1.0,791206,74,74,monthly issuance,940601,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,940601,951130,14.6,36536.0,8187.945132743361,9593.676518248056,14.6,300.0,71138.8,36421.42566371683,13195.884796079004,31007.0,37,76,1,18,62,14,0,18
401,6407,6930,940526,25944,24,1081,1.0,605521,41,41,monthly issuance,930908,none,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,930908,940512,14.6,36289.5,10704.751351351351,11843.284039151136,24193.0,600.0,80155.2,56927.45405405403,17426.036797826957,69398.9,19,18,11,0,18,0,0,8
403,6421,6985,960725,96768,36,2688,1.0,685106,38,38,monthly issuance,950727,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,950727,960721,13.4,64100.0,13244.225757575754,15605.868690713372,5200.0,900.0,117830.9,51611.34242424239,22929.24381405384,37396.4,28,38,17,0,31,7,0,11
409,6456,7123,931209,47016,12,3918,1.0,576231,46,64,issuance after transaction,930414,none,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,930414,931205,32.8,51800.0,12252.22380952381,13682.96965434983,14581.0,200.0,112901.6,60382.085714285706,23888.321559448163,58773.2,22,20,14,0,16,4,0,8
410,6460,7133,941106,48672,36,1352,1.0,485502,55,1,monthly issuance,930917,none,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,930917,941031,14.6,12100.0,1577.4938144329901,2134.8633422215444,14.6,300.0,33484.4,23050.189690721647,5423.587576531727,23110.0,34,63,21,0,27,36,0,13
411,6461,7136,960919,74124,36,2059,1.0,395413,12,12,weekly issuance,950409,none,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,950409,960910,30.0,49816.0,9023.625409836066,13173.527464945735,1080.0,400.0,159765.9,54371.29918032791,30062.389743314227,25658.0,39,83,24,0,50,33,0,15
416,6471,7184,960804,155640,24,6485,1.0,435107,5,5,monthly issuance,950619,none,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,950619,960731,14.6,34486.0,5793.879999999999,8412.574174143225,14.6,500.0,72838.9,45183.34952380955,13513.4703010347,40494.6,27,78,14,0,42,36,0,13
417,6474,7190,950606,63360,60,1056,1.0,550814,49,49,monthly issuance,930906,none,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,930906,950531,14.6,12138.0,3181.7697478991595,3298.4851046378453,14.6,700.0,40733.8,29108.363865546195,6107.706916241164,25635.0,49,70,29,0,54,16,0,20
421,6499,7401,940105,80952,24,3373,1.0,450204,1,1,monthly issuance,930226,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930226,931231,13.5,30354.0,7937.749999999999,8801.99814953593,150.2,1100.0,67529.6,33312.53888888891,12270.895742079612,28763.7,22,32,2,10,27,5,0,10
422,6501,7418,960429,30276,12,2523,-1.0,395423,21,21,monthly issuance,950407,none,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,950407,960411,14.6,22708.0,5028.0456521739125,6757.653398134707,18500.0,1000.0,58621.4,31318.87282608695,12216.3463270595,24930.3,58,34,9,13,34,0,0,36
425,6509,7445,940315,55368,24,2307,1.0,396225,64,64,monthly issuance,930318,none,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,930318,940313,14.6,48139.0,8702.475510204076,10214.905753667108,10100.0,200.0,113350.7,46061.31938775505,24131.83891162098,12414.4,47,51,25,0,51,0,0,22
426,6512,7454,940526,63312,48,1319,1.0,565507,31,4,monthly issuance,930419,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,930419,940514,14.6,10500.0,2011.2317073170734,1985.0630591021188,900.0,500.0,31462.9,22551.77926829271,5522.432869014776,28553.5,35,47,23,0,30,17,0,12
427,6520,7485,940316,91200,24,3800,1.0,555826,39,39,monthly issuance,930728,none,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,930728,940313,14.6,34198.0,9999.522222222224,10256.550986539874,22799.0,700.0,76736.9,32558.533333333333,15743.433555304437,32715.3,18,18,3,8,15,3,0,7
428,6526,7523,950103,288468,36,8013,1.0,586026,63,63,monthly issuance,940829,none,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,940829,941231,6.4,30950.0,8402.382352941177,10797.212071076223,26.1,600.0,71939.2,36999.52352941177,16205.72181108147,48665.3,14,3,6,0,3,0,0,8
430,6535,7546,951102,41952,12,3496,1.0,721210,43,43,monthly issuance,940903,none,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,940903,951031,14.6,31462.0,5890.407619047617,8048.949212542917,134.4,500.0,71527.0,41502.025714285715,13263.348751707794,24687.4,31,74,3,14,44,30,0,14
432,6540,7562,951231,309600,48,6450,1.0,750626,72,72,weekly issuance,950117,none,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,950117,951223,30.0,58052.0,16045.607142857141,16733.061607551972,22389.0,400.0,112363.1,58185.589285714275,20963.728475446504,35488.1,22,34,1,11,34,0,0,10
435,6545,7606,951212,191880,60,3198,1.0,490308,21,21,monthly issuance,950315,none,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,950315,951211,14.6,59200.0,12113.75517241379,14349.017983777885,12269.0,400.0,128539.4,53685.78620689651,26747.651934377307,78521.0,35,52,26,0,36,16,0,9
436,6546,7607,950327,31728,24,1322,1.0,500410,1,1,monthly issuance,930905,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930905,950318,14.6,22267.5,5173.091452991451,5966.712787011365,3240.0,600.0,56122.8,31139.747863247834,9913.02291629028,32802.7,41,76,23,0,62,14,0,18
437,6550,7614,960518,320592,48,6679,1.0,706109,62,62,monthly issuance,950208,classic,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,950208,960508,14.6,60108.0,13875.417045454547,16061.984956112858,5800.0,500.0,117827.8,60781.306818181794,21161.10823723557,69148.6,30,58,1,15,57,0,1,14
446,6577,7753,940311,51696,24,2154,1.0,685128,74,74,monthly issuance,930208,classic,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,930208,940305,14.6,59600.0,13901.269607843138,16005.325069697616,9500.0,600.0,124339.4,58226.50490196077,26115.030058226144,38202.2,44,58,31,0,53,0,5,13
447,6578,7765,951211,27984,12,2332,1.0,490216,52,52,weekly issuance,940710,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,940710,951207,30.0,47513.0,7289.584210526317,10118.511874184564,8217.0,500.0,82352.4,30639.863157894713,16237.333801572568,18380.5,30,46,14,0,36,10,0,16
448,6580,7769,940522,196080,48,4085,1.0,580527,23,23,monthly issuance,931003,none,Cheb,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,931003,940514,14.6,46888.0,10472.497872340426,12892.04336582451,4900.0,900.0,97457.4,49143.96595744681,23182.39661204049,86857.4,20,27,13,0,27,0,0,7
449,6585,7795,961029,372120,60,6202,1.0,450126,64,64,monthly issuance,950105,none,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,950105,961026,14.6,63300.0,15182.096511627913,14838.13540859658,12800.0,500.0,128495.4,64044.04593023261,25895.9123556906,46580.5,71,101,50,0,101,0,0,21
450,6589,7815,960101,189696,24,7904,1.0,450924,19,19,weekly issuance,950409,none,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,950409,951231,30.0,57600.0,11582.991011235956,15277.74924355709,210.9,700.0,125386.9,54137.10561797752,23400.63444036177,88662.1,30,59,21,0,36,23,0,9
451,6591,7819,950202,20832,48,434,1.0,480504,38,38,monthly issuance,930801,none,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,930801,950131,14.6,19700.0,2499.068211920529,3466.849228571882,68.5,500.0,41997.9,21368.909933774863,5923.774708486194,17887.1,47,104,29,0,52,52,0,18
452,6594,7824,940928,189696,24,7904,-1.0,705219,60,60,monthly issuance,940517,none,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,940517,940914,600.0,11500.0,4500.0,4623.310502226733,2200.0,600.0,22500.0,14900.0,8889.038193190532,22500.0,5,0,5,0,0,0,0,0
453,6596,7844,940625,91584,24,3816,1.0,516116,33,1,monthly issuance,931126,none,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,931126,940624,14.6,47906.0,15002.819354838708,15132.82127814505,27900.0,1000.0,83039.4,50765.41612903225,18234.74108903289,49842.9,14,17,1,7,17,0,0,6
454,6598,7857,950118,68112,12,5676,1.0,776130,35,75,monthly issuance,930804,none,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,930804,950115,14.6,57164.0,9898.475510204082,13854.433323810712,7500.0,300.0,111588.8,47220.13401360543,19532.468493474174,39416.1,37,110,2,18,69,41,0,17
455,6599,7859,961119,72120,12,6010,1.0,526110,52,52,monthly issuance,950314,none,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,950314,961115,14.6,54092.0,14376.881372549024,15888.066131563548,7000.0,1000.0,109338.9,75686.06568627457,20598.00230804139,98631.7,40,62,1,20,62,0,0,19
456,6600,7861,951008,21852,36,607,1.0,541205,34,34,monthly issuance,950422,none,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,950422,951005,14.6,27736.5,9232.249999999998,9622.094337956234,26.0,700.0,60863.2,38509.05,15001.855573002804,42899.4,12,6,7,0,5,1,0,5
460,6613,7926,960922,84120,24,3505,1.0,505302,69,69,weekly issuance,960609,none,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,960609,960920,30.0,47952.0,14769.1,14989.980823610891,13484.0,900.0,89570.9,56910.689473684215,24271.624057983947,45528.9,12,7,9,0,7,0,0,3
462,6624,7965,940930,71460,12,5955,1.0,450803,55,55,monthly issuance,931108,none,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,931108,940923,14.6,48487.0,10433.439534883719,11419.52812902487,34197.0,200.0,82549.0,47991.530232558136,19235.72960061234,53022.0,20,23,12,0,19,4,0,8
467,6642,8027,940605,77640,12,6470,1.0,670710,27,44,weekly issuance,930707,none,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,930707,940602,30.0,58227.0,13255.798333333332,15291.831141145889,6000.0,700.0,117489.5,55570.30499999995,23174.95183686821,30825.8,22,38,2,10,38,0,0,10
469,6644,8039,961020,93600,24,3900,1.0,720623,9,9,monthly issuance,951217,none,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,951217,961014,14.6,45287.0,7856.4127272727255,12488.54233569277,3231.0,900.0,96108.3,40078.70727272725,21469.630340267242,26235.8,21,34,11,0,19,15,0,10
470,6645,8041,941106,140400,36,3900,1.0,411015,74,1,monthly issuance,931010,none,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,931010,941104,14.6,63200.0,10991.504444444443,15888.23225064495,5100.0,400.0,115000.2,43563.61999999999,18981.79097613385,28271.8,22,23,9,0,23,0,0,13
471,6647,8051,940601,208320,48,4340,1.0,685414,31,1,weekly issuance,930207,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,930207,940531,30.0,39060.0,9434.437647058825,10975.441200514299,30.0,200.0,82981.9,43944.88941176475,16039.860835602089,44183.1,33,52,3,15,52,0,0,15
472,6650,8073,940217,49320,12,4110,-1.0,456003,24,24,issuance after transaction,930903,none,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,930903,940214,100.0,62700.0,10548.35918367347,14102.345763499749,11567.0,900.0,126833.0,46576.27755102041,24439.877180919786,15673.6,17,32,12,0,22,10,0,5
474,6659,8092,960220,56100,60,935,1.0,580707,54,54,monthly issuance,950111,none,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,950111,960212,14.6,13986.0,3856.6014705882358,4053.802279249882,6216.0,1000.0,45346.1,20158.00147058824,8426.832211799325,15407.2,28,40,16,0,31,9,0,12
477,6667,8127,960715,155880,24,6495,1.0,686030,37,37,monthly issuance,941013,none,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,941013,960707,14.6,60700.0,12237.18309859155,13730.39144061888,8305.0,1000.0,164648.6,63263.14718309857,26666.145799399845,44564.6,51,91,33,0,75,16,0,18
478,6668,8129,940730,74736,36,2076,1.0,651029,45,45,monthly issuance,930626,none,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,930626,940721,14.6,30918.0,8191.962686567161,8752.215172203909,10200.0,700.0,62084.0,37912.998507462675,10605.68811295336,33243.7,26,41,14,0,33,8,0,12
480,6676,8159,950613,29784,24,1241,1.0,696225,26,26,monthly issuance,950208,none,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,950208,950608,59.4,17241.0,6943.350000000001,5953.523640439561,11300.0,200.0,49220.3,27626.08333333333,13131.977125726578,37920.3,9,3,6,0,3,0,0,3
482,6678,8173,940520,80340,12,6695,1.0,765206,1,11,monthly issuance,930705,none,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,930705,940505,14.6,61260.0,15464.398076923077,16870.6656318755,40840.0,1100.0,122523.5,61531.59038461539,26678.258714234544,89342.6,22,30,3,10,30,0,0,9
484,6686,8260,940825,224604,36,6239,1.0,760524,31,31,monthly issuance,930324,none,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,930324,940816,14.6,56152.0,14537.80322580645,15921.879127869597,17300.0,200.0,109178.4,57496.98924731188,21234.856010411902,40287.4,34,59,1,17,59,0,0,16
